supplier,region,weather,shipment_mode,product_category,distance_km,supplier_reliability,lead_time_days,order_volume,inventory_level,route_risk,traffic_index,disrupted
Supplier_E,West,Clear,Road,Food,261.0,0.608,3.5,781.0,518.0,0.283,0.536,0
Supplier_E,West,Clear,Road,Electronics,737.0,0.903,8.9,780.0,487.0,0.201,0.517,0
Supplier_E,East,Rain,Air,Automotive,50.0,0.535,5.9,104.0,658.0,0.583,0.34,0
Supplier_C,West,Clear,Road,Food,724.0,0.822,4.4,684.0,424.0,0.524,0.386,0
Supplier_D,West,Rain,Rail,Food,64.0,0.722,8.9,369.0,454.0,0.253,0.548,0
Supplier_B,North,Flood,Road,Textile,414.0,0.713,2.7,318.0,292.0,0.487,0.49,1
Supplier_D,West,Rain,Sea,Food,209.0,0.806,8.6,514.0,880.0,0.301,0.76,0
Supplier_D,East,Rain,Road,Textile,494.0,0.674,,239.0,231.0,0.282,0.4,0
Supplier_B,North,Clear,Road,Food,768.0,0.857,6.9,510.0,537.0,0.34,0.413,0
Supplier_B,East,Clear,Sea,Pharma,67.0,0.789,6.1,251.0,606.0,0.479,0.134,0
Supplier_A,East,Clear,Road,Textile,457.0,0.687,4.4,452.0,497.0,0.172,0.642,0
Supplier_A,North,Heatwave,Road,Automotive,417.0,0.981,7.2,660.0,224.0,0.45,0.622,1
Supplier_C,Central,Rain,Sea,Automotive,961.0,0.811,5.8,490.0,280.0,0.85,0.715,1
Supplier_C,South,Clear,Road,Pharma,662.0,0.875,9.2,355.0,615.0,0.387,0.727,0
Supplier_A,South,Clear,Road,Automotive,244.0,0.992,7.7,517.0,328.0,0.357,0.674,0
Supplier_C,East,Flood,Road,Food,427.0,0.99,7.4,167.0,44.0,0.333,0.683,1
Supplier_D,Central,Rain,Road,Electronics,955.0,0.867,6.9,269.0,585.0,0.446,0.634,0
Supplier_B,West,Rain,Sea,Pharma,736.0,0.735,4.6,343.0,308.0,0.028,0.668,0
Supplier_B,West,Flood,Rail,Textile,311.0,0.566,5.1,562.0,639.0,0.69,0.095,1
Supplier_B,South,Rain,Rail,Food,481.0,0.811,6.7,493.0,456.0,0.546,0.258,0
Supplier_C,Central,Rain,Road,Automotive,489.0,0.944,5.5,516.0,445.0,0.221,0.222,0
Supplier_B,Central,Clear,Air,Electronics,410.0,0.833,9.3,415.0,511.0,0.356,0.779,0
Supplier_D,East,Clear,Air,Pharma,105.0,0.263,6.3,278.0,250.0,0.239,0.328,0
Supplier_B,East,Heatwave,Road,Textile,374.0,0.911,7.1,688.0,318.0,0.41,0.363,0
Supplier_C,North,Rain,Sea,Food,911.0,0.92,1.8,294.0,443.0,0.362,0.501,0
Supplier_B,West,Clear,Rail,Textile,451.0,0.735,8.8,495.0,248.0,0.396,0.226,0
Supplier_A,Central,Rain,Air,Textile,523.0,0.928,4.3,400.0,657.0,0.144,0.584,0
Supplier_D,East,Clear,Road,Pharma,587.0,0.874,2.9,521.0,432.0,0.254,0.031,0
Supplier_B,East,Flood,Road,Textile,1127.0,0.677,10.9,311.0,181.0,0.579,0.241,1
Supplier_B,East,Clear,Air,Automotive,552.0,0.971,8.1,609.0,377.0,0.243,0.544,0
Supplier_D,North,Storm,Air,Electronics,834.0,0.59,8.9,668.0,522.0,0.01,0.227,1
Supplier_E,West,Rain,Road,Electronics,394.0,0.771,7.4,598.0,402.0,0.32,0.786,1
Supplier_D,West,Clear,Road,Electronics,483.0,0.756,5.7,448.0,588.0,0.832,0.51,0
Supplier_E,Central,Clear,Sea,Automotive,553.0,0.656,5.2,342.0,626.0,0.52,0.749,1
Supplier_E,Central,Storm,Road,Electronics,349.0,0.826,8.3,928.0,1028.0,0.233,0.579,1
Supplier_C,East,Clear,Road,Pharma,497.0,0.977,9.4,242.0,753.0,0.34,0.497,0
Supplier_D,Central,Clear,Rail,Food,781.0,0.967,,579.0,140.0,0.486,0.281,0
Supplier_B,East,Storm,Road,Electronics,342.0,0.889,12.2,480.0,421.0,0.01,0.704,1
Supplier_C,West,Clear,Road,Pharma,550.0,0.526,5.4,409.0,441.0,0.179,0.597,0
Supplier_C,West,Clear,Road,Automotive,734.0,0.58,1.8,453.0,627.0,0.43,0.959,1
Supplier_E,Central,Clear,Sea,Textile,336.0,0.805,1.0,328.0,295.0,0.669,0.682,0
Supplier_E,West,Flood,Road,Food,835.0,0.775,1.0,497.0,383.0,0.262,0.413,1
Supplier_C,North,Clear,Air,Automotive,569.0,0.705,4.8,477.0,226.0,0.663,0.564,0
Supplier_D,North,Clear,Sea,Food,507.0,1.0,5.3,902.0,368.0,0.199,0.593,0
Supplier_B,East,Clear,Air,Food,50.0,0.796,8.0,613.0,376.0,0.01,0.756,0
Supplier_E,East,Clear,Rail,Food,453.0,0.861,5.9,513.0,431.0,0.499,0.791,0
Supplier_C,West,Clear,Rail,Textile,647.0,0.928,8.5,524.0,239.0,0.458,0.464,0
Supplier_C,East,Clear,Road,Electronics,1004.0,0.788,6.1,751.0,716.0,0.497,0.233,0
Supplier_D,East,Clear,Rail,Food,698.0,1.0,6.0,245.0,604.0,0.489,,0
Supplier_D,Central,Clear,Sea,Electronics,843.0,0.639,4.3,387.0,181.0,0.388,0.249,0
Supplier_A,South,Flood,Air,Textile,236.0,0.689,10.3,77.0,506.0,0.298,0.37,1
Supplier_B,East,Clear,Road,Automotive,517.0,0.639,1.4,521.0,156.0,0.306,0.831,0
Supplier_A,East,Clear,Road,Electronics,867.0,1.0,6.9,573.0,795.0,0.258,0.834,0
Supplier_D,East,Heatwave,Sea,Automotive,319.0,0.9,5.5,241.0,855.0,0.27,0.711,0
Supplier_A,Central,Flood,Road,Food,801.0,0.698,8.3,678.0,488.0,0.01,0.771,1
Supplier_B,Central,Rain,Sea,Electronics,741.0,0.65,5.9,291.0,312.0,0.107,0.344,0
Supplier_C,East,Clear,Road,Textile,621.0,0.988,6.0,358.0,354.0,0.317,0.167,0
Supplier_D,East,Clear,Air,Pharma,465.0,0.834,5.2,442.0,400.0,0.01,0.279,0
Supplier_C,East,Clear,Sea,Electronics,294.0,0.992,10.2,707.0,476.0,0.01,0.052,0
Supplier_E,North,Clear,Rail,Automotive,1012.0,0.771,6.0,266.0,802.0,0.283,0.255,0
Supplier_E,East,Clear,Road,Pharma,714.0,0.857,11.9,472.0,710.0,0.324,0.389,0
Supplier_A,South,Rain,Sea,Automotive,639.0,0.825,6.8,559.0,714.0,0.287,0.537,1
Supplier_E,North,Clear,Road,Electronics,443.0,0.686,6.1,522.0,538.0,0.01,0.53,0
Supplier_D,North,Rain,Road,Textile,560.0,,5.6,529.0,246.0,0.66,0.348,1
Supplier_D,East,Clear,Rail,Food,593.0,0.602,7.7,557.0,331.0,0.063,0.625,0
Supplier_A,North,Clear,Road,Food,654.0,0.854,4.2,320.0,513.0,0.186,0.353,0
Supplier_D,West,Storm,Air,Textile,741.0,0.894,6.4,724.0,236.0,0.098,0.502,1
Supplier_D,East,Flood,Road,Food,347.0,0.929,6.0,400.0,567.0,0.61,0.256,1
Supplier_C,South,Clear,Road,Electronics,169.0,0.88,7.0,376.0,677.0,0.434,0.74,0
Supplier_A,West,Rain,Sea,Food,572.0,0.761,7.1,663.0,620.0,0.255,0.505,0
Supplier_C,East,Clear,Road,Automotive,96.0,1.0,7.2,306.0,611.0,0.241,0.649,0
Supplier_E,West,Clear,Rail,Pharma,466.0,0.914,6.3,478.0,89.0,0.386,0.232,0
Supplier_D,West,Storm,Air,Electronics,418.0,0.988,10.7,290.0,793.0,0.101,0.538,1
Supplier_A,North,Clear,Sea,Electronics,678.0,0.998,7.3,873.0,155.0,0.426,0.626,0
Supplier_E,South,Clear,Rail,Textile,1065.0,0.761,13.8,836.0,466.0,0.24,,0
Supplier_E,East,Rain,Sea,Electronics,50.0,0.838,6.1,400.0,636.0,0.454,0.757,0
Supplier_A,Central,Clear,Road,Food,1141.0,0.896,8.9,514.0,579.0,0.447,0.225,0
Supplier_E,North,Clear,Road,Textile,489.0,0.608,3.8,421.0,219.0,0.231,0.546,0
Supplier_C,North,Clear,Sea,Pharma,640.0,0.611,10.2,357.0,258.0,0.01,0.893,1
Supplier_C,Central,Heatwave,Sea,Pharma,182.0,0.585,3.9,442.0,563.0,0.301,0.71,1
Supplier_C,Central,Rain,Rail,Automotive,809.0,0.764,7.4,413.0,612.0,0.06,0.172,0
Supplier_D,North,Clear,Rail,Automotive,561.0,0.73,5.2,146.0,256.0,0.366,0.461,0
Supplier_E,East,Clear,Rail,Electronics,534.0,0.565,7.4,467.0,586.0,0.299,0.771,0
Supplier_D,West,Rain,Road,Food,50.0,0.802,5.3,412.0,167.0,0.232,0.32,0
Supplier_E,North,Clear,Sea,Electronics,569.0,0.766,3.6,476.0,637.0,0.091,0.421,0
Supplier_E,South,Rain,Sea,Pharma,770.0,0.957,5.2,406.0,306.0,0.587,0.415,0
Supplier_A,South,Storm,Rail,Pharma,489.0,1.0,10.6,355.0,518.0,0.259,,1
Supplier_B,West,Clear,Road,Textile,855.0,0.848,7.4,577.0,481.0,0.821,0.162,0
Supplier_D,South,Clear,Road,Textile,845.0,0.676,2.1,516.0,755.0,0.357,0.638,0
Supplier_C,East,Clear,Road,Automotive,383.0,0.877,,671.0,553.0,0.42,0.363,0
Supplier_A,South,Clear,Air,Automotive,965.0,0.781,3.3,509.0,368.0,0.358,0.498,0
Supplier_A,West,Clear,Rail,Electronics,562.0,0.744,8.2,384.0,579.0,0.418,0.451,0
Supplier_C,North,Flood,Road,Electronics,563.0,0.651,7.7,531.0,971.0,0.569,0.632,1
Supplier_D,South,Clear,Rail,Automotive,576.0,0.71,7.8,63.0,663.0,0.571,0.495,0
Supplier_A,South,Rain,Sea,Food,568.0,0.753,11.6,799.0,487.0,0.01,0.817,1
Supplier_A,Central,Rain,Road,Food,50.0,0.901,3.5,469.0,317.0,0.521,0.718,0
Supplier_A,Central,Clear,Rail,Automotive,502.0,0.857,7.8,813.0,364.0,0.449,0.325,0
Supplier_C,East,Clear,Rail,Pharma,195.0,1.0,9.8,264.0,650.0,0.357,0.8,0
Supplier_A,North,Clear,Road,Automotive,973.0,0.881,4.1,219.0,305.0,0.693,0.57,0
Supplier_C,West,Rain,Rail,Automotive,962.0,0.844,3.8,486.0,501.0,0.701,0.537,1
Supplier_C,East,Clear,Rail,Pharma,772.0,0.734,5.1,485.0,816.0,0.531,0.687,0
Supplier_C,Central,Storm,Road,Automotive,488.0,0.624,7.0,481.0,533.0,0.241,0.271,1
Supplier_D,South,Flood,Road,Electronics,288.0,0.695,1.8,453.0,263.0,0.112,0.197,1
Supplier_C,Central,Storm,Sea,Pharma,379.0,0.675,7.7,307.0,979.0,0.501,,1
Supplier_D,Central,Heatwave,Road,Automotive,1055.0,0.396,1.8,153.0,888.0,0.622,0.367,1
Supplier_D,South,Storm,Rail,Textile,370.0,0.629,9.9,471.0,610.0,0.01,0.956,1
Supplier_E,West,Flood,Rail,Electronics,50.0,1.0,7.5,189.0,781.0,0.567,0.332,1
Supplier_D,South,Flood,Sea,Automotive,818.0,0.835,11.7,172.0,441.0,0.299,0.509,1
Supplier_C,South,Storm,Air,Food,940.0,0.724,8.0,351.0,659.0,0.01,0.542,1
Supplier_C,South,Storm,Sea,Automotive,981.0,0.84,5.1,498.0,407.0,0.444,0.771,1
Supplier_B,West,Heatwave,Rail,Automotive,820.0,0.487,3.6,778.0,202.0,0.532,0.281,1
Supplier_C,South,Clear,Road,Electronics,862.0,0.822,6.7,596.0,1070.0,0.28,0.145,0
Supplier_A,West,Rain,Road,Automotive,564.0,,5.9,678.0,191.0,0.139,0.807,0
Supplier_E,East,Rain,Road,Pharma,50.0,0.762,9.6,538.0,565.0,0.692,0.518,1
Supplier_E,West,Flood,Road,Electronics,557.0,0.514,3.2,486.0,563.0,0.216,0.678,1
Supplier_A,Central,Clear,Road,Food,712.0,0.718,12.1,871.0,614.0,0.582,0.688,0
Supplier_D,North,Storm,Road,Electronics,515.0,0.972,9.8,182.0,480.0,0.047,0.727,0
Supplier_A,Central,Storm,Road,Automotive,503.0,0.819,5.4,346.0,483.0,0.433,0.417,1
Supplier_D,North,Heatwave,Road,Food,299.0,0.567,11.4,360.0,530.0,0.428,0.357,1
Supplier_A,East,Clear,Road,Food,290.0,1.0,3.7,581.0,606.0,0.525,0.061,0
Supplier_C,South,Storm,Air,Electronics,1028.0,0.592,6.6,244.0,500.0,0.649,0.281,1
Supplier_D,West,Storm,Rail,Automotive,1037.0,0.744,2.2,557.0,485.0,0.187,0.514,1
Supplier_D,West,Heatwave,Sea,Electronics,549.0,0.624,11.5,524.0,209.0,0.454,0.346,1
Supplier_C,Central,Heatwave,Rail,Pharma,623.0,0.625,1.1,566.0,943.0,0.077,0.249,0
Supplier_E,East,Rain,Sea,Pharma,295.0,,1.7,563.0,618.0,0.074,0.511,0
Supplier_D,Central,Rain,Air,Automotive,717.0,0.875,4.1,697.0,546.0,0.234,0.795,0
Supplier_B,South,Clear,Road,Food,1008.0,0.974,10.0,411.0,363.0,0.432,0.488,0
Supplier_D,South,Heatwave,Sea,Textile,152.0,0.722,8.9,515.0,279.0,0.685,0.251,0
Supplier_D,South,Clear,Road,Textile,671.0,0.628,6.4,287.0,689.0,0.722,0.78,1
Supplier_B,East,Storm,Rail,Automotive,690.0,0.852,9.1,246.0,465.0,0.279,0.33,1
Supplier_D,West,Storm,Air,Electronics,687.0,0.856,5.7,738.0,637.0,0.411,0.825,1
Supplier_E,Central,Clear,Road,Automotive,977.0,0.816,7.3,274.0,203.0,0.539,0.442,0
Supplier_E,South,Clear,Rail,Pharma,1079.0,0.821,11.0,535.0,840.0,0.503,0.523,0
Supplier_D,South,Clear,Road,Textile,489.0,0.763,5.3,516.0,698.0,0.316,0.843,0
Supplier_D,Central,Flood,Road,Textile,725.0,0.795,3.7,631.0,482.0,0.365,0.203,1
Supplier_B,East,Rain,Road,Electronics,572.0,0.753,7.4,122.0,603.0,0.328,0.269,0
Supplier_D,South,Clear,Road,Electronics,386.0,0.941,8.2,580.0,663.0,0.308,0.428,0
Supplier_B,Central,Storm,Road,Automotive,620.0,1.0,6.3,410.0,206.0,0.282,0.469,1
Supplier_C,East,Clear,Rail,Electronics,725.0,0.807,9.0,312.0,869.0,0.326,1.0,1
Supplier_B,Central,Flood,Rail,Textile,606.0,0.779,5.4,375.0,606.0,0.269,0.305,1
Supplier_B,Central,Clear,Rail,Food,321.0,0.818,6.4,607.0,345.0,0.123,0.213,0
Supplier_A,Central,Clear,Air,Food,429.0,0.681,7.1,552.0,259.0,0.523,0.294,0
Supplier_E,East,Clear,Road,Textile,431.0,0.895,6.9,397.0,717.0,0.453,0.551,0
Supplier_A,West,Rain,Road,Pharma,331.0,0.846,10.8,215.0,546.0,0.725,0.608,1
Supplier_A,Central,Clear,Air,Food,632.0,0.717,7.1,228.0,606.0,0.424,0.344,0
Supplier_E,South,Storm,Sea,Textile,659.0,0.915,5.1,556.0,506.0,0.267,0.505,1
Supplier_C,North,Clear,Road,Electronics,805.0,0.783,7.6,190.0,279.0,0.225,0.928,0
Supplier_C,South,Clear,Road,Electronics,327.0,0.634,9.0,399.0,612.0,0.359,0.508,0
Supplier_D,West,Clear,Air,Electronics,400.0,0.833,8.3,903.0,457.0,0.461,0.571,0
Supplier_B,East,Clear,Sea,Pharma,954.0,0.816,8.2,503.0,495.0,0.301,0.916,1
Supplier_A,North,Heatwave,Road,Electronics,507.0,0.924,1.5,554.0,1023.0,0.056,0.346,0
Supplier_D,East,Clear,Road,Electronics,558.0,0.905,1.0,229.0,691.0,0.202,0.332,0
Supplier_A,North,Heatwave,Road,Textile,504.0,0.764,9.8,199.0,704.0,0.354,0.397,0
Supplier_C,East,Clear,Rail,Food,845.0,0.709,7.3,563.0,1099.0,0.498,0.384,0
Supplier_E,East,Clear,Sea,Pharma,855.0,0.78,5.9,369.0,585.0,0.053,0.099,0
Supplier_E,West,Clear,Air,Food,839.0,0.834,8.1,631.0,526.0,0.403,0.53,0
Supplier_B,East,Clear,Road,Textile,557.0,0.853,11.8,446.0,351.0,0.394,0.548,0
Supplier_D,East,Storm,Rail,Food,323.0,0.825,10.2,1060.0,400.0,0.26,0.459,1
Supplier_D,West,Rain,Sea,Food,1051.0,0.766,8.9,335.0,50.0,0.233,0.554,1
Supplier_C,West,Clear,Rail,Textile,773.0,0.93,3.3,490.0,674.0,0.203,0.557,0
Supplier_A,Central,Rain,Sea,Electronics,431.0,0.679,3.7,277.0,221.0,0.378,0.21,0
Supplier_B,South,Rain,Road,Food,920.0,1.0,1.0,624.0,699.0,0.575,0.564,0
Supplier_D,East,Heatwave,Road,Automotive,411.0,0.894,7.9,517.0,491.0,0.59,0.623,1
Supplier_E,South,Heatwave,Rail,Food,917.0,,9.3,265.0,528.0,0.125,0.149,0
Supplier_A,East,Rain,Rail,Textile,934.0,0.808,9.6,381.0,491.0,0.313,0.822,0
Supplier_D,North,Storm,Sea,Textile,310.0,0.896,8.0,685.0,805.0,0.01,0.228,1
Supplier_E,East,Storm,Rail,Pharma,701.0,0.728,5.5,663.0,766.0,0.372,0.25,0
Supplier_E,North,Rain,Road,Textile,753.0,0.556,4.3,183.0,494.0,0.47,0.544,0
Supplier_C,East,Storm,Road,Pharma,1230.0,0.624,3.5,354.0,302.0,0.664,0.618,1
Supplier_A,Central,Clear,Rail,Pharma,357.0,0.861,5.5,766.0,703.0,0.01,0.671,0
Supplier_B,Central,Storm,Road,Textile,922.0,0.517,3.1,408.0,286.0,0.132,0.623,1
Supplier_E,East,Heatwave,Air,Electronics,555.0,0.563,11.3,471.0,158.0,0.379,0.386,0
Supplier_E,North,Clear,Road,Pharma,227.0,0.861,2.1,623.0,610.0,0.026,0.524,0
Supplier_D,South,Flood,Road,Automotive,519.0,0.747,5.4,198.0,768.0,0.384,,1
Supplier_A,North,Heatwave,Rail,Food,551.0,0.676,1.0,269.0,411.0,0.475,0.538,0
Supplier_A,West,Clear,Road,Textile,275.0,0.706,6.9,380.0,589.0,0.094,0.515,0
Supplier_C,Central,Rain,Air,Pharma,631.0,0.559,6.0,655.0,409.0,0.377,0.389,0
Supplier_C,East,Heatwave,Rail,Food,799.0,0.853,4.9,622.0,659.0,0.108,0.424,0
Supplier_A,North,Heatwave,Rail,Electronics,612.0,0.659,3.2,568.0,741.0,0.625,0.093,0
Supplier_D,North,Clear,Air,Pharma,409.0,0.7,6.0,413.0,442.0,0.391,0.683,0
Supplier_C,Central,Clear,Air,Electronics,511.0,0.832,4.4,641.0,274.0,0.222,0.565,0
Supplier_A,South,Rain,Sea,Automotive,549.0,0.742,5.6,411.0,179.0,0.102,0.01,0
Supplier_A,North,Clear,Road,Pharma,607.0,0.674,11.9,542.0,704.0,0.428,0.674,0
Supplier_C,North,Clear,Road,Automotive,839.0,0.482,6.5,602.0,250.0,0.622,0.488,1
Supplier_D,South,Clear,Air,Pharma,621.0,0.835,7.6,743.0,582.0,0.196,0.294,0
Supplier_E,West,Clear,Rail,Food,185.0,0.792,4.6,428.0,671.0,0.262,0.274,0
Supplier_C,Central,Rain,Rail,Textile,404.0,0.702,3.6,373.0,390.0,0.2,0.349,0
Supplier_B,South,Rain,Rail,Textile,593.0,0.624,5.9,671.0,463.0,0.661,0.295,0
Supplier_E,West,Rain,Air,Electronics,842.0,0.782,13.5,685.0,720.0,0.01,0.325,0
Supplier_C,North,Storm,Road,Automotive,887.0,0.852,5.1,340.0,322.0,0.607,0.874,1
Supplier_B,North,Clear,Rail,Textile,1011.0,0.795,7.1,239.0,300.0,0.275,0.582,0
Supplier_C,North,Clear,Road,Automotive,584.0,1.0,3.5,657.0,448.0,0.336,0.948,0
Supplier_A,Central,Clear,Road,Electronics,748.0,0.886,1.0,142.0,781.0,0.282,0.55,0
Supplier_B,East,Clear,Air,Automotive,172.0,0.764,3.6,133.0,854.0,0.398,0.627,0
Supplier_C,Central,Clear,Rail,Automotive,662.0,0.891,13.1,390.0,478.0,0.204,0.306,0
Supplier_E,North,Clear,Road,Automotive,270.0,0.787,7.8,438.0,343.0,0.562,0.463,0
Supplier_D,North,Clear,Sea,Food,534.0,0.787,10.9,229.0,734.0,0.57,,0
Supplier_D,Central,Clear,Air,Food,1338.0,0.974,5.0,460.0,133.0,0.153,0.636,0
Supplier_C,North,Rain,Rail,Automotive,629.0,0.645,1.0,468.0,554.0,0.483,0.489,0
Supplier_A,North,Rain,Sea,Food,325.0,0.783,2.7,334.0,490.0,0.279,0.577,0
Supplier_B,East,Heatwave,Road,Automotive,656.0,0.958,7.2,786.0,785.0,0.36,0.569,0
Supplier_E,West,Storm,Air,Automotive,416.0,0.826,6.7,497.0,807.0,0.655,0.433,1
Supplier_A,South,Rain,Road,Pharma,300.0,0.725,6.0,623.0,293.0,0.215,0.411,1
Supplier_E,East,Clear,Road,Automotive,1097.0,0.524,4.4,158.0,537.0,0.535,0.353,0
Supplier_D,West,Rain,Road,Automotive,827.0,0.439,8.8,156.0,374.0,0.441,0.738,1
Supplier_B,East,Clear,Road,Food,640.0,1.0,4.5,503.0,435.0,0.311,0.433,0
Supplier_D,South,Clear,Rail,Automotive,448.0,0.826,6.9,754.0,636.0,0.423,0.572,0
Supplier_E,North,Clear,Road,Electronics,469.0,0.692,6.6,238.0,426.0,0.4,0.466,0
Supplier_A,East,Clear,Rail,Pharma,951.0,0.832,4.9,446.0,543.0,0.118,0.734,0
Supplier_A,Central,Clear,Road,Automotive,630.0,0.638,3.4,198.0,711.0,0.229,0.063,0
Supplier_D,West,Rain,Road,Textile,50.0,0.73,4.7,291.0,833.0,0.141,0.567,0
Supplier_E,Central,Flood,Sea,Automotive,1179.0,0.639,11.6,455.0,564.0,0.295,,1
Supplier_A,North,Storm,Air,Automotive,598.0,0.568,9.3,331.0,526.0,0.619,0.586,1
Supplier_D,North,Rain,Sea,Pharma,639.0,0.464,9.1,185.0,256.0,0.466,0.468,1
Supplier_A,East,Rain,Rail,Automotive,833.0,0.54,3.6,181.0,849.0,0.063,0.175,0
Supplier_D,North,Clear,Road,Pharma,671.0,0.933,1.7,81.0,609.0,0.295,0.574,0
Supplier_D,East,Storm,Rail,Electronics,744.0,0.632,9.3,506.0,530.0,0.397,0.549,1
Supplier_A,Central,Rain,Rail,Pharma,440.0,0.86,8.7,528.0,519.0,0.499,0.449,0
Supplier_D,South,Clear,Road,Automotive,230.0,0.923,6.4,527.0,579.0,0.22,0.477,0
Supplier_E,East,Clear,Sea,Textile,623.0,0.782,4.9,256.0,670.0,0.103,0.536,0
Supplier_E,West,Heatwave,Rail,Food,922.0,0.735,1.6,601.0,697.0,0.339,0.759,1
Supplier_A,North,Rain,Air,Textile,382.0,0.8,8.6,547.0,854.0,0.464,0.431,0
Supplier_B,Central,Clear,Rail,Automotive,361.0,0.718,9.6,421.0,553.0,0.397,0.723,0
Supplier_B,South,Rain,Rail,Food,867.0,0.961,4.0,392.0,886.0,0.173,0.492,0
Supplier_C,Central,Clear,Road,Textile,431.0,1.0,3.7,303.0,733.0,0.701,0.785,0
Supplier_A,West,Clear,Sea,Food,443.0,0.997,9.7,455.0,487.0,0.33,0.448,0
Supplier_E,North,Clear,Road,Food,453.0,0.457,4.1,711.0,133.0,0.389,0.353,0
Supplier_D,West,Clear,Road,Automotive,533.0,0.714,11.3,625.0,519.0,0.218,0.259,0
Supplier_E,North,Rain,Road,Automotive,141.0,0.781,5.7,374.0,843.0,0.571,0.493,1
Supplier_A,East,Clear,Rail,Food,410.0,0.849,4.8,517.0,329.0,0.464,0.326,0
Supplier_A,Central,Storm,Sea,Food,610.0,0.521,6.1,222.0,518.0,0.413,0.809,1
Supplier_E,Central,Clear,Sea,Textile,608.0,0.518,4.8,551.0,536.0,0.12,0.308,0
Supplier_B,Central,Rain,Air,Electronics,851.0,0.976,9.4,270.0,707.0,0.569,0.348,0
Supplier_D,East,Rain,Sea,Electronics,1028.0,0.696,8.7,544.0,415.0,0.501,0.628,1
Supplier_E,East,Rain,Air,Food,943.0,0.557,9.3,954.0,309.0,0.553,0.761,0
Supplier_A,South,Rain,Road,Electronics,788.0,0.614,6.6,317.0,625.0,0.357,0.661,1
Supplier_A,Central,Heatwave,Rail,Pharma,511.0,0.839,4.6,946.0,336.0,0.335,0.733,0
Supplier_A,East,Rain,Road,Food,388.0,0.657,6.0,508.0,96.0,0.314,0.482,0
Supplier_A,West,Storm,Road,Food,555.0,0.816,4.7,285.0,905.0,0.806,0.485,1
Supplier_A,South,Storm,Road,Pharma,702.0,0.633,10.4,277.0,704.0,0.242,0.943,1
Supplier_E,West,Clear,Road,Pharma,764.0,0.518,9.0,846.0,914.0,0.113,0.872,0
Supplier_D,South,Clear,Sea,Automotive,712.0,0.994,5.7,509.0,692.0,0.275,0.657,0
Supplier_E,West,Clear,Sea,Textile,518.0,0.84,3.2,318.0,650.0,0.243,0.743,0
Supplier_E,North,Clear,Road,Automotive,755.0,0.73,10.6,383.0,581.0,0.602,0.689,0
Supplier_E,North,Clear,Air,Food,878.0,0.702,,498.0,459.0,0.079,0.235,0
Supplier_B,South,Clear,Road,Electronics,779.0,1.0,5.6,418.0,613.0,0.238,0.491,0
Supplier_B,East,Rain,Road,Pharma,542.0,0.869,10.6,482.0,378.0,0.388,0.829,1
Supplier_E,West,Clear,Road,Food,333.0,0.952,4.5,739.0,265.0,0.604,0.658,0
Supplier_B,South,Storm,Road,Pharma,327.0,0.692,5.0,217.0,427.0,0.493,0.486,1
Supplier_A,North,Clear,Road,Automotive,373.0,0.788,5.3,536.0,784.0,0.674,0.832,0
Supplier_D,South,Storm,Road,Pharma,617.0,0.84,2.1,407.0,229.0,0.419,0.581,1
Supplier_E,East,Clear,Road,Textile,685.0,0.697,6.9,330.0,232.0,0.309,0.666,0
Supplier_E,East,Clear,Road,Pharma,182.0,0.766,3.7,613.0,630.0,0.521,,0
Supplier_E,West,Clear,Sea,Food,419.0,0.692,4.3,157.0,409.0,0.077,0.619,0
Supplier_A,South,Rain,Road,Automotive,613.0,0.84,3.9,20.0,607.0,0.01,0.635,0
Supplier_D,West,Clear,Road,Pharma,316.0,0.582,4.2,460.0,718.0,0.545,0.786,0
Supplier_E,West,Heatwave,Rail,Automotive,663.0,0.866,3.5,395.0,602.0,0.392,0.815,0
Supplier_D,West,Clear,Road,Food,470.0,0.827,6.7,176.0,361.0,0.543,0.401,0
Supplier_E,East,Rain,Rail,Automotive,362.0,0.75,5.5,112.0,782.0,0.18,0.578,0
Supplier_E,Central,Clear,Road,Food,564.0,0.847,6.1,768.0,663.0,0.607,0.78,0
Supplier_C,South,Rain,Rail,Textile,652.0,0.725,13.1,503.0,506.0,0.484,0.471,0
Supplier_A,West,Clear,Rail,Automotive,329.0,0.679,5.5,424.0,495.0,0.344,0.212,0
Supplier_C,North,Clear,Air,Electronics,487.0,0.862,7.8,815.0,582.0,0.391,0.3,0
Supplier_B,North,Clear,Rail,Food,672.0,0.868,8.2,604.0,431.0,0.419,0.315,0
Supplier_A,Central,Clear,Road,Textile,352.0,0.704,5.8,738.0,141.0,0.179,0.399,0
Supplier_A,East,Clear,Road,Pharma,119.0,0.691,6.8,208.0,665.0,0.273,0.336,0
Supplier_D,West,Heatwave,Road,Food,150.0,0.753,6.1,201.0,652.0,0.416,0.726,1
Supplier_C,West,Clear,Rail,Automotive,441.0,0.697,6.6,531.0,20.0,0.265,0.439,0
Supplier_C,West,Clear,Road,Pharma,207.0,1.0,4.2,495.0,612.0,0.056,0.777,0
Supplier_D,South,Heatwave,Road,Food,460.0,0.827,4.5,645.0,886.0,0.409,0.251,0
Supplier_C,North,Clear,Air,Food,983.0,0.782,6.1,126.0,252.0,0.517,0.422,0
Supplier_D,North,Clear,Road,Electronics,192.0,0.64,1.0,547.0,484.0,0.564,0.523,0
